iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false
490	0.4368736063	0.8136680574	0.8216985887
491	0.4368077136	0.8137070945	0.8217237903
492	0.4366466638	0.8137215785	0.8217237903
493	0.4366115664	0.8136788935	0.8217237903
494	0.4364843559	0.8139121854	0.8219254032
495	0.4363842467	0.8138971277	0.8219002016
496	0.4363359818	0.8140187351	0.8220262097
497	0.4363113903	0.8139932589	0.8220010081
498	0.4362591653	0.8141306415	0.8221270161
499	0.4360735883	0.8141527738	0.8221774194
43	0.8136718245	0.8214789797
